#,Name,Type,Total,HitPoints,Attack,Defense,SpecialAttack,SpecialDefense,Speed,Generation,Legendary
1,Bulbasaur,Grass,318,45,49,49,65,65,45,1,FALSE
2,Ivysaur,Grass,405,60,62,63,80,80,60,1,FALSE
3,Venusaur,Grass,525,80,82,83,100,100,80,1,FALSE
4,Charmander,Fire,309,39,52,43,60,50,65,1,FALSE
5,Charmeleon,Fire,405,58,64,58,80,65,80,1,FALSE
6,Charizard,Fire,534,78,84,78,109,85,100,1,FALSE
7,Squirtle,Water,314,44,48,65,50,64,43,1,FALSE
8,Wartortle,Water,405,59,63,80,65,80,58,1,FALSE
9,Blastoise,Water,530,79,83,100,85,105,78,1,FALSE
10,Caterpie,Fire,195,45,30,35,20,20,45,1,FALSE
11,Metapod,Fire,205,50,20,55,25,25,30,1,FALSE
12,Butterfree,Fire,395,60,45,50,90,80,70,1,FALSE
13,Weedle,Fire,195,40,35,30,20,20,50,1,FALSE
14,Kakuna,Fire,205,45,25,50,25,25,35,1,FALSE
15,Beedrill,Fire,395,65,90,40,45,80,75,1,FALSE
16,Pidgey,Grass,251,40,45,40,35,35,56,1,FALSE
17,Pidgeotto,Grass,349,63,60,55,50,50,71,1,FALSE
18,Pidgeot,Grass,479,83,80,75,70,70,101,1,FALSE
19,Rattata,Grass,253,30,56,35,25,35,72,1,FALSE
20,Raticate,Grass,413,55,81,60,50,70,97,1,FALSE
21,Spearow,Grass,262,40,60,30,31,31,70,1,FALSE
22,Fearow,Grass,442,65,90,65,61,61,100,1,FALSE
23,Ekans,Electric,288,35,60,44,40,54,55,1,FALSE
24,Arbok,Electric,438,60,85,69,65,79,80,1,FALSE
25,Pikachu,Electric,320,35,55,40,50,50,90,1,FALSE
26,Raichu,Electric,485,60,90,55,90,80,110,1,FALSE
27,Sandshrew,Grass,300,50,75,85,20,30,40,1,FALSE
28,Sandslash,Grass,450,75,100,110,45,55,65,1,FALSE
33,Nidorino,Electric,365,61,72,57,55,55,65,1,FALSE
34,Nidoking,Electric,505,81,102,77,85,75,85,1,FALSE
35,Clefairy,Fire,323,70,45,48,60,65,35,1,FALSE
36,Clefable,Fire,483,95,70,73,95,90,60,1,FALSE
37,Vulpix,Fire,299,38,41,40,50,65,65,1,FALSE
38,Ninetales,Fire,505,73,76,75,81,100,100,1,FALSE
39,Jigglypuff,Grass,270,115,45,20,45,25,20,1,FALSE
40,Wigglytuff,Grass,435,140,70,45,85,50,45,1,FALSE
41,Zubat,Electric,245,40,45,35,30,40,55,1,FALSE
42,Golbat,Electric,455,75,80,70,65,75,90,1,FALSE
43,Oddish,Grass,320,45,50,55,75,65,30,1,FALSE
44,Gloom,Grass,395,60,65,70,85,75,40,1,FALSE
45,Vileplume,Grass,490,75,80,85,110,90,50,1,FALSE
46,Paras,Fire,285,35,70,55,45,55,25,1,FALSE
